date_stock,Open
2019-07-22,17.25
2022-03-15,258.42334
2012-12-27,2.233333
2017-08-14,24.308666
2012-12-10,2.295333
2017-03-31,18.582001
2014-03-12,15.433333
2012-10-24,1.901333
2016-01-07,14.279333
2015-09-21,17.598667
2022-04-13,327.026672
2019-11-06,21.200001
2020-02-12,51.858002
2021-09-27,257.706665
2014-02-25,15.333333
2011-01-11,1.906
2020-02-24,55.933334
2013-03-15,2.442667
2021-07-27,221.133331
2011-01-10,1.878
2016-02-23,11.744
2015-10-02,15.706667
2019-09-12,16.513332
2012-05-23,2.037333
2021-12-20,303.566681
2011-07-13,1.895333
2014-10-24,15.751333
2015-05-14,16.321333
2010-07-16,1.38
2015-05-20,16.475332
2015-08-12,15.666667
2018-04-11,20.049334
2022-02-24,233.463333
2017-01-04,14.316667
2019-09-19,16.4
2013-07-15,8.868667
2012-08-03,1.793333
2018-09-12,18.762667
2022-06-06,244.353333
2015-12-23,15.478667
2010-07-13,1.159333
2014-10-02,16.68
2018-02-23,23.188667
2017-10-03,22.393333
2019-05-09,16.133333
2016-07-26,15.179333
2014-12-10,14.275333
2017-08-15,24.346666
2014-02-07,12.067333
2015-03-05,13.523333
2015-06-01,16.760668
2011-06-07,1.929333
2015-05-07,14.733333
2018-06-06,20.033333
2018-07-11,21.053333
2016-01-14,13.480667
2020-11-10,140.029999
2017-01-18,15.776667
2016-12-02,12.192
2012-03-02,2.293333
2010-11-09,1.666667
2012-04-09,2.273333
2011-06-22,1.824667
2020-10-23,140.613327
2017-09-11,23.423332
2014-04-03,15.353333
2021-03-22,228.196671
2017-02-08,17.156668
2014-10-10,16.309334
2015-10-14,14.711333
2019-07-09,15.264667
2010-08-13,1.212
2019-06-21,14.414667
2014-08-05,15.831333
2018-12-12,24.628
2019-10-15,17.18
2020-02-14,52.481335
2016-08-17,14.955333
2011-08-29,1.614667
2017-04-13,19.780001
2014-03-05,17.114668
2018-07-25,19.782667
2012-11-20,2.186667
2013-03-18,2.353333
2021-10-25,316.843323
2022-06-16,222.736664
2019-12-17,25.266001
2010-09-21,1.392667
2016-01-13,14.134
2011-05-17,1.8
2021-12-14,315.0
2012-05-22,2.006667
2019-11-25,22.954666
2012-09-20,2.062
2015-07-31,17.84
2020-01-22,38.125999
2010-08-31,1.310667
2020-07-10,93.066666
2015-02-03,14.214667
2016-03-17,14.764667
2020-04-30,57.012669
2012-02-16,2.233333
2017-07-07,20.9
2012-03-20,2.332
2013-09-05,11.34
2015-11-06,15.38
2012-06-19,2.134667
2012-01-26,1.871333
2021-03-31,215.539993
2014-05-20,13.129333
2022-06-22,234.503326
2017-12-07,20.799999
2022-04-25,326.323334
2018-08-14,23.896667
2019-05-30,12.583333
2018-08-23,21.275999
2012-12-17,2.251333
2016-05-03,15.824
2016-04-12,16.633333
2012-03-08,2.207333
2018-05-16,18.922001
2018-09-21,19.846666
2012-04-19,2.183333
2012-03-05,2.29
2022-08-23,291.453339
2020-08-04,99.667336
2020-02-10,53.333332
2020-09-16,146.623337
2021-07-30,223.919998
2017-07-13,22.007334
2020-05-07,51.813999
2016-10-20,13.474667
2016-11-15,12.185333
2021-04-08,225.793335
2021-03-16,234.449997
2017-03-01,16.945333
2018-04-13,20.24
2013-10-18,12.276667
2010-11-16,2.066667
2018-06-04,19.622667
2016-05-09,14.381333
2014-11-13,16.708
2021-06-30,226.589996
2015-06-26,17.926001
2017-11-09,20.166668
2012-08-15,1.959333
2011-05-12,1.804667
2021-04-14,256.899994
2012-09-05,1.867333
2011-01-24,1.568667
2016-08-18,14.921333
2014-07-03,15.419333
2020-12-01,199.196671
2018-11-16,23.012667
2016-10-10,13.423333
2013-10-04,11.76
2013-09-03,11.56
2016-05-02,16.1
2019-09-04,15.126
2021-10-11,262.549988
2018-03-16,21.528667
2012-05-11,2.166
2018-05-24,18.559999
2020-09-01,167.380005
2014-05-09,11.990667
2017-10-31,21.348667
2022-07-21,255.106674
2015-12-01,15.404
2012-11-09,2.04
2020-01-24,38.042
2015-08-07,16.238667
2011-10-10,1.820667
2010-11-10,1.632
2010-07-26,1.433333
2016-09-16,13.361333
2015-04-13,14.029333
2013-03-20,2.350667
2017-03-24,17.046667
2014-06-18,15.433333
2021-11-30,381.456665
2018-08-24,21.379999
2013-02-11,2.532
2012-07-20,2.138
2014-03-20,15.744
2019-10-16,17.159332
2012-10-09,1.941333
2013-09-27,12.501333
2018-11-23,22.290001
2014-12-16,13.392667
2018-01-17,22.698
2015-05-06,15.606667
2014-03-17,15.663333
2016-09-27,13.976667
2017-02-06,16.733334
2019-08-05,15.306667
2020-01-07,30.76
2022-01-28,277.186676
2013-06-21,6.913333
2022-02-18,295.333344
2017-09-07,23.065332
