Date,Low
2015-07-10,17.188
2015-11-25,14.692
2019-05-07,16.34
2015-05-01,14.694
2018-09-28,17.370667
2017-12-12,22.002001
2022-01-03,378.679993
2012-08-22,1.934
2015-08-27,15.387333
2015-10-20,13.466667
2016-07-14,14.736667
2016-05-04,14.693333
2019-04-23,17.049999
2022-08-30,272.649994
2017-03-03,16.6
2014-07-14,14.363333
2014-01-09,9.79
2018-07-10,21.280001
2013-04-25,3.366667
2021-03-09,198.403336
2014-08-11,17.0
2018-12-17,22.925333
2019-03-14,19.219334
2013-05-20,5.908667
2020-03-16,29.478001
2019-04-01,18.752001
2013-01-02,2.314
2015-09-23,17.172001
2020-08-04,97.466667
2017-02-13,18.034
2018-08-24,21.293333
2018-04-19,19.236668
2013-09-10,10.708667
2012-12-27,2.2
2019-02-12,20.641333
2020-02-19,60.068001
2021-05-24,191.21666
2015-07-09,17.119333
2014-03-05,16.786667
2013-05-01,3.533333
2022-02-24,233.333328
2018-11-02,22.727333
2010-11-10,1.603333
2022-06-29,222.273331
2015-09-14,16.644667
2015-11-11,14.242
2010-12-30,1.758667
2017-12-29,20.666668
2011-02-22,1.452
2019-10-16,17.128
2013-09-04,11.037333
2014-04-07,13.567333
2013-06-10,6.571333
2013-02-14,2.547333
2017-07-18,21.044001
2020-12-14,203.399994
2012-03-01,2.220667
2016-12-01,12.066667
2012-11-01,1.88
2014-10-29,15.709333
2015-05-22,16.334
2012-06-22,2.164
2019-06-19,14.737333
2011-10-05,1.556667
2016-05-25,14.434
2016-04-26,16.625999
2021-05-21,193.333328
2015-08-05,17.360001
2014-02-18,13.424
2012-11-06,1.996667
2012-10-12,1.833333
2022-07-26,256.263336
2019-05-28,12.523333
2014-06-09,13.613333
2010-12-29,1.766667
2010-11-02,1.403333
2011-08-02,1.818
2019-04-12,17.788668
2018-08-20,19.213333
2010-07-28,1.367333
2012-09-05,1.854
2015-01-05,13.810667
2020-12-23,207.523331
2020-05-29,53.613998
2018-09-27,20.460667
2017-11-03,19.675333
2021-08-13,238.113327
2021-01-11,267.873322
2019-05-23,12.414667
2011-02-03,1.543333
2021-06-01,206.850006
2022-03-25,332.440002
2011-11-01,1.866667
2017-08-25,23.153334
2021-07-27,209.080002
2017-12-08,20.750668
2021-02-03,284.353333
2012-08-01,1.735333
2013-07-18,7.745333
2019-10-21,16.678667
2017-12-21,21.813999
2020-02-04,55.591999
2022-02-01,301.666656
2017-10-02,22.367332
2021-02-05,279.656677
2022-04-13,324.366669
2012-11-19,2.122667
2017-02-27,16.134001
2018-11-23,21.703333
2019-03-19,17.563999
2021-04-16,241.53334
2010-09-29,1.408667
2021-02-26,219.83667
2020-06-12,60.84
2011-12-06,2.268667
2016-06-16,14.233333
2016-02-24,11.189333
2017-12-27,20.716667
2017-12-06,20.0
2022-03-08,260.723328
2014-08-13,17.307333
2015-08-25,14.608
2011-08-18,1.564667
2015-02-18,13.506667
2014-03-21,15.166667
2019-11-05,21.074667
2011-07-06,1.903333
2010-07-14,1.184
2012-01-03,1.843333
2017-12-28,20.636
2014-04-30,13.418667
2018-01-08,21.033333
2016-11-29,12.633333
2015-09-15,16.633333
2021-06-30,226.046661
2011-09-16,1.632667
2015-03-02,13.055333
2020-04-16,47.114666
2021-01-21,280.473328
2017-02-09,17.743334
2019-12-26,28.423332
2014-12-29,14.934667
2011-06-20,1.7
2020-05-21,53.066666
2022-01-11,346.273346
2012-09-21,1.969333
2016-08-31,13.91
2017-09-19,24.904667
2011-12-30,1.883333
2022-08-26,287.470001
2016-08-11,14.894
2018-11-05,22.009333
2011-03-21,1.502667
2018-04-27,18.922001
2012-05-08,1.958
2020-12-17,206.5
2015-05-12,15.879333
2016-11-25,12.909333
2016-03-31,15.000667
2021-07-15,212.626663
2019-01-15,22.299999
2021-11-09,337.17334
2017-01-25,16.786667
2020-05-15,52.436668
2020-04-06,33.197334
2018-09-17,19.208668
2014-09-16,16.827999
