Date,High
2010-12-06,2.096667
2013-10-10,11.716667
2013-01-22,2.37
2012-04-19,2.228667
2015-07-24,18.072666
2012-08-10,1.996
2017-03-08,16.671333
2018-10-01,20.762667
2018-02-27,23.999332
2011-12-14,1.978667
2020-03-13,40.504665
2020-12-03,199.656662
2016-02-23,12.115333
2013-09-12,11.117333
2017-12-07,21.242001
2020-07-24,97.666664
2013-09-25,12.42
2011-01-24,1.654
2022-05-26,239.556671
2013-12-30,10.320667
2013-04-23,3.528
2011-07-12,1.939333
2012-01-26,1.972
2011-04-26,1.816667
2011-04-12,1.680667
2019-04-02,19.296
2011-10-05,1.722667
2018-04-04,19.224667
2012-06-01,1.944
2019-07-12,16.358667
2016-03-16,14.838667
2020-08-05,99.989334
2014-01-21,11.819333
2012-10-03,1.996667
2020-06-29,67.333336
2021-08-18,231.92334
2014-10-03,17.1
2013-03-21,2.470667
2013-11-01,11.06
2018-07-20,21.549334
2016-12-29,14.613333
2019-04-24,17.688
2019-07-19,17.330667
2018-02-06,22.414667
2013-12-09,9.446667
2010-07-15,1.433333
2018-01-10,22.466667
2015-03-16,13.060667
2014-11-14,17.256666
2022-05-25,223.106674
2015-07-02,18.83
2016-12-16,13.506
2013-04-19,3.325333
2019-10-24,20.328667
2011-04-11,1.768667
2012-10-31,1.89
2010-11-19,2.091333
2020-04-13,43.466667
2019-02-13,20.85
2020-03-26,37.333332
2014-03-06,17.166668
2012-10-24,1.901333
2020-12-22,216.626663
2014-03-20,15.95
2014-09-24,16.856001
2010-12-02,2.286667
2020-05-14,53.557335
2022-07-07,245.363327
2014-05-07,14.013333
2018-11-14,23.140667
2021-04-01,230.806671
2014-07-24,15.006667
2014-04-22,14.622
2022-07-05,233.146667
2016-08-30,14.407333
2018-03-28,17.912001
2020-02-20,60.799999
2020-02-13,54.533333
2015-05-05,15.966667
2018-07-12,21.548668
2013-01-25,2.502667
2018-11-05,22.930668
2011-08-04,1.792667
2017-08-31,23.896
2017-03-22,17.004667
2017-10-25,22.5
2011-04-21,1.798667
2019-01-04,21.200001
2018-06-20,24.292
2012-01-30,1.974
2013-03-20,2.404667
2017-12-06,20.892668
2012-09-24,2.068667
2017-03-14,17.208
2017-08-03,23.333332
2012-09-07,1.971333
2015-03-18,13.392
2016-11-04,12.897333
2022-01-05,390.113342
2014-03-21,15.746667
2012-04-09,2.286
2011-05-27,1.978
2019-10-11,16.738667
2020-02-25,57.106667
2015-11-12,14.6
2018-02-21,22.646
2017-03-02,16.885332
2016-08-05,15.466667
2020-07-15,103.333336
2014-03-04,17.333332
2011-12-28,1.949333
2015-02-09,14.528667
2011-01-11,1.914
2012-12-20,2.319333
2012-01-13,1.9
2010-11-02,1.458667
2021-01-21,285.23999
2017-09-22,24.66
2019-05-29,12.826
2011-07-14,1.930667
2012-01-09,1.832667
2020-12-14,214.25
2019-10-09,16.486668
2022-06-09,255.546661
2013-01-24,2.514667
2021-12-20,307.230011
2019-05-10,16.132668
2016-05-11,14.365333
2015-05-26,16.799999
2020-12-23,217.166672
2018-06-22,23.483334
2016-09-29,13.822
2013-06-13,6.618667
2013-05-17,6.296
2020-07-23,112.599998
2022-03-17,291.666656
2015-11-13,14.199333
2020-10-21,144.316666
2019-09-23,16.345333
