Date,Open
2020-03-26,36.492668
2020-02-20,60.796665
2013-02-08,2.63
2021-07-12,220.733337
2012-10-16,1.844667
2016-07-18,14.642667
2012-08-10,1.954
2020-04-24,47.387333
2014-10-07,17.235332
2021-12-08,350.90332
2012-09-12,1.86
2019-10-18,17.379999
2013-05-16,6.313333
2018-01-08,21.066668
2012-01-03,1.929333
2010-07-22,1.366667
2016-07-05,13.982
2020-09-10,128.736664
2019-03-18,18.4
2018-10-16,17.713333
2011-11-18,2.242667
2012-05-25,2.010667
2017-10-02,22.834667
2019-05-06,16.667999
2018-05-15,19.000668
2011-11-08,2.091333
2020-04-28,53.042667
2021-02-25,242.050003
2019-10-01,16.1
2013-10-09,11.648667
2016-06-24,12.67
2012-01-18,1.779333
2011-03-03,1.632
2013-07-02,7.883333
2022-08-25,302.359985
2020-10-29,136.653336
2011-11-28,2.133333
2018-10-30,21.892668
2012-11-02,1.951333
2010-11-26,2.373333
2019-04-17,18.316668
2012-02-14,2.116
2021-08-12,235.446671
2013-01-30,2.523333
2022-02-08,301.843323
2012-06-28,2.126667
2012-03-15,2.352
2018-09-17,19.336
2017-08-23,22.599333
2018-03-27,20.266666
2016-09-06,13.268
2011-09-27,1.733333
2010-08-23,1.272667
2018-01-23,24.0
2020-02-28,41.98
2020-08-26,137.333328
2019-08-09,15.736667
2014-05-08,12.133333
2018-05-22,19.184
2015-08-24,13.519333
2012-05-10,2.198
2011-04-07,1.79
2015-02-10,14.503333
2013-10-23,11.260667
2022-01-19,347.236664
2011-11-29,2.166
2020-11-13,136.949997
2016-12-15,13.227333
2012-01-19,1.812667
2014-02-05,11.886667
2011-03-31,1.77
2022-09-06,272.679993
2011-04-29,1.846
2017-12-20,22.179333
2014-06-04,13.623333
2019-08-27,14.382667
2021-08-17,224.220001
2018-07-09,20.799334
2014-10-28,15.306667
2018-06-08,21.266666
2017-11-30,20.570667
2011-12-28,1.932667
2014-04-24,14.054
2019-05-28,12.746667
2011-10-27,1.889333
2022-09-16,299.609985
2020-07-17,100.896667
2010-07-15,1.329333
2016-10-05,14.149333
2020-07-22,106.599998
2018-09-05,19.003332
2015-12-17,15.596
2017-08-30,23.311333
2019-01-23,19.5
2012-11-06,2.040667
2016-05-10,13.836667
2010-09-14,1.369333
2018-06-22,23.436001
2014-09-11,18.697332
2017-09-18,25.35
2011-08-19,1.590667
2013-12-04,9.621333
2010-12-20,2.109333
2015-04-20,13.785333
2010-10-29,1.409333
2013-09-09,10.874667
2011-08-12,1.706667
2020-07-01,72.199997
2021-07-26,216.990005
2018-04-30,19.573999
2014-10-01,16.146667
2016-03-11,13.862
2017-07-17,21.702667
2019-11-20,24.0
2019-07-31,16.200001
2020-05-05,52.652668
2020-01-21,35.349998
2011-05-18,1.74
2011-12-23,1.866667
2016-09-26,13.766667
2017-10-09,23.309999
2013-01-14,2.205333
2021-12-01,386.899994
2014-07-11,14.707333
2017-10-10,23.120001
2013-01-22,2.304
2017-12-29,21.078667
2021-09-08,253.860001
2014-03-24,15.316667
2015-01-02,14.858
2016-11-04,12.6
2022-07-08,242.333328
2014-01-29,11.686667
2013-04-29,3.450667
2011-10-31,1.966667
2016-08-25,14.874
2016-10-17,13.136667
2013-02-15,2.566667
2010-12-09,2.167333
2017-10-18,23.731333
2022-02-04,299.073334
2011-11-21,2.162667
2017-11-22,21.118
2022-03-24,336.57666
2019-02-15,20.299999
2021-03-24,222.636673
2022-06-02,244.156662
2011-12-30,1.899333
2015-02-27,13.793333
2013-11-12,9.646
2020-05-04,46.733334
2015-07-16,17.614668
2015-07-30,17.512667
2010-08-11,1.246
2021-12-09,353.546661
2011-11-01,1.892667
2014-04-07,13.720667
2015-04-01,12.58
2017-06-26,25.779333
2013-11-18,9.018
2021-09-14,247.523331
2020-05-12,55.133331
2016-08-11,15.078
2016-02-08,10.473333
2019-10-10,16.351999
2022-01-25,304.733337
2017-05-02,21.6
2022-04-06,357.823334
2017-12-15,22.802668
2022-05-06,295.666656
2019-08-07,15.1
2019-07-17,17.044666
2022-06-27,249.366669
2015-07-21,18.003332
2015-07-27,17.495333
2012-11-15,2.086667
2022-06-03,243.226669
2011-12-19,1.872667
2019-09-03,14.938667
2016-09-08,13.303333
2022-06-09,249.339996
2015-06-24,17.798668
2014-10-17,15.558667
2021-04-12,228.566666
2014-12-17,12.870667
2011-11-04,2.097333
2015-11-09,15.532667
2010-08-17,1.264
2012-07-17,2.333333
2020-12-17,209.396667
2022-01-26,317.476654
2019-06-26,14.687333
2013-12-10,9.336667
2011-06-06,2.006667
2012-04-18,2.139333
2021-04-22,247.166672
2022-08-29,282.829987
2017-02-27,16.544666
2017-05-30,21.733334
2021-08-13,241.236664
2021-05-18,189.333328
2017-04-11,20.892
2020-08-06,99.388664
2010-07-02,1.533333
2016-09-22,13.76
2012-12-14,2.252
2019-09-30,16.200001
2013-07-22,7.992667
2012-09-27,1.854667
2016-10-31,13.499333
